text,label
"Unreal ""movie"", what were these people on?? A mix of French Upstairs Downstairs, mating horses,porn (not suggested, its pretty full on for a film) & bestiality with a bit of Benny Hill music & chase scenes thrown in, its sounds crazy & its even more so to watch. **spoiler** It plods along in a tedious fashion for quite a while,.... then a Lamb does a runner, prompting woman in period dress to run off after it, she goes into the woods where she is set upon by an erect ""penis"" attached to a man in a bear/rat manky suit, I put it like that as its obvious the ""penis"" is in charge & gets way too much screen time, ejaculating for the most of it, anyway, in a nutshell, it turns out she liked a bit of bear/rat tadger & thats about it, the rest is just padding. **end spoiler** A film made to shock & offend, thus getting talked about, any publicity is good publicity I suppose,a waste of time really, but the ""main event"" has to be seen to be believed, its hard to imagine that anyone thought it was a good idea as they filmed it.",0
"Without Peter Ustinov and Maggie Smith, this could easily have been a turkey. But they are brilliant. Ustinov is at his best, and for fans of Maggie, it is great to see her in her early days, matching Ustinov every step of the way for with and timing. For Englishmen in their fifties (and I am in that bracket), it is always entertaining to see glimpses of and hear sounds of the Swinging Sixties, and although this film spends a lot of time in offices, it has plenty of Sixties nostalgia, including red buses, Carnaby Street, a song by Lulu and a delicious shot up the micro-skirt of a waitress, the like of which England has never seen since in public places. As an I.T. engineer, I know that the computer hacking tricks are laughable, but they are not meant to be taken seriously. Nor are the wonderful stereotypes of Italians, French and Germans.",1
"This is the true story of how three British soldiers escaped from the German Prisoner Of War (POW) camp, Stalag Luft III, during the Second World War. This is the same POW camp that was the scene for the Great Escape which resulted in the murder of 50 re-captured officers by the Gestapo (and later was made into a very successful movie of the same name). <br /><br />While the other POWs in Stalag Luft III are busy working on their three massive tunnels (known as Tom, Dick & Harry), two enterprising British prisoners came up with the idea to build a wooden vaulting horse which could be placed near the compound wire fence, shortening the distance they would have to tunnel from this starting point to freedom. The idea to build their version of the Trojan Horse came to them while they were discussing 'classic' attempts for escape and observing some POWs playing leap-frog in the compound.<br /><br />Initially containing one, and later with two POWs hidden inside, the wooden horse could be carried out into the compound and placed in almost the same position, near the fence, on a daily basis. While volunteer POWS vaulted over the horse, the escapees were busy inside the horse digging a tunnel from under the vaulting horse while positioned near the wire, under the wire, and into the woods. <br /><br />The story also details the dangers that two of the three escaping POWs faced while traveling through Germany and occupied Europe after they emerged from the tunnel. All three POWs who tried to escape actually hit home runs (escaped successfully to their home base.). The Wooden Horse gives a very accurate and true feeling of the tension and events of a POW breakout. The movie was shot on the actual locations along the route the two POWs traveled in their escape. Made with far less a budget than The Great Escape, The Wooden Horse is more realistic if not more exciting than The Great Escape and never fails to keep you from the edge of your seat rooting for the POWs to make good their escape. <br /><br />The story line is crisp and the acting rings true and is taut enough to keep the tension up all the way through the movie. The Wooden Horse is based on the book of the same name by one of the escapees, Eric Williams, and is, by far, the best POW escape story ever made into a movie. Some of the actual POWs were used in the movie to reprise their existence as prisoners in Stalag Luft III. I give this movie a well deserved ten.",1
"This movie appears to have designed as a Fred Astaire-Ginger Rogers film--the plot outline, dance numbers, zippy music and the entire formula is there...except for Ginger! Whether it REALLY was originally intended as a re-pairing of the team is uncertain but it sure has the look of one of these films. Instead of the usual sidekicks for Fred (such as Eric Blore or Edward Everett Horton), Burns and Allen are used--probably since despite being known as a comedy team, they COULD sing and dance quite well. This actually shocked me, but the team were a welcome addition and some of the traditional Fred and Ginger numbers were done with either Fred and Gracie or these two along with George. Only once, at the very end, does Ms. Fontaine dance with Fred but it's very brief and with a distant camera shot.<br /><br />And speaking of Burns and Allen, I think I owe it to the team to talk about them in the film. I have never been a fan of their show or their movies. In general, I find Gracie's idiot act very annoying and I have given some poor reviews to their movie shorts and full-length films. However, in this film I must admit that they were great--not only dancing competently but I actually thought they were funny and filled the hole left by Edward Everett Horton very nicely. They were on top of their game and the writers did a wonderful job in this department.<br /><br />Now as for the rest of the film, it's all a lot of fun and is entertaining. The problem for me, though, was that Joan Fontaine was not a particularly good choice for the movie--not just because she was acting outside her range (after all, she wasn't a singer or dancer), but because she had the screen presence of a ball of lint. Because of this, the usual balance and great boy-girl dialog was lacking. There was also a very charming performance by Harry Watson as a devilish little boy who did everything he could do to play cupid--all because he wanted to win a bet! And finally, I loved the Fun House and Tunnel of Love sequence--it is too hard to describe but is so much fun to watch! Overall, I did like the film quite a bit--it had a lot of charm and excellent writing. Unfortunately, it also featured a bland performance by Ms. Fontaine that knocks off a point--bringing my score for this film to 7.",1
"Daniel Day-Lewis is Christy Brown, a victim of cerebral palsy who uses ""My Left Foot"" to write and paint in this incredible 1989 film. The movie also stars Brenda Fricker as Christy's mother, Ray McAnally, Fiona Shaw and Hugh O'Conor. Their brilliant performances, great script and wonderful direction by Jim Sheridan help to paint a vivid portrait of Christy Brown, an artist and writer who died in 1981 at the age of 49.<br /><br />Brown was born into a lower middle-class Catholic family where his mother was constantly pregnant (22 children in total, 13 of whom survived). His father considered Christy mentally retarded as well as physically handicapped, but he would not permit his son to go into a home. The children in the family would bid goodbye to him each day as they went off to school, and then his mother would feed him and talk to him.<br /><br />In the movie, Fricker conveys the sense of a woman who, despite being surrounded by a huge family, needs someone to talk to. Christy doesn't talk back. Eventually a cart is found for him to ride in, and the neighborhood kids, all of whom have known him since he was a baby, include him in all of their activities. The only part of his body that works really well is his left foot, and when the kids find out how well he kicks, they put him into soccer games for just that purpose. One of the nicest parts of the film is the relaxed way the in which the other children treat him.<br /><br />There are many powerful scenes, but none as powerful as Christy writing ""Mother"" on the floor holding a piece of chalk between his toes. ""He's a true Brown,"" his father declares, hoisting him on his shoulders and carrying him to the pub. Walking into the pub, he announces, ""My son's a genius."" Things change when Christy grows older because he has a young boy's desires and emotions. He develops crushes, is rejected and goes more into himself, turning to painting. Eventually he goes into therapy in a nearby clinic and works with a therapist, Eileen (Fiona Shaw) at home. He falls in love with her. When he finds out she's engaged, he nearly goes crazy. But he survives to live, to paint, to write (three books in total) and to love again.<br /><br />Because it's a film, by necessity certain things had to be left out and characters combined. Brown wasn't actually diagnosed with cerebral palsy for some time, which was left out of the movie. The therapist Eileen is actually a combination of three important therapeutic figures in Christy's life, and though we know that his mother believed he had a good mind, in truth, she worked very hard with Christy when he was a child teaching him the alphabet, etc. Also, before Mary, Christy had a 12-year relationship with the woman to whom he dedicated ""My Left Foot."" And the typical Hollywood ending, 9 years before his death where neglect by his wife may have been a factor, doesn't finish the story.<br /><br />Despite all of that, Christy Brown's biopic is incredibly powerful, all the more so because of two performances: Hugh O'Conor as young Christy and Daniel Day-Lewis as the adult Christy. O'Conor's facial expression and the way he drags his warped body is gut-wrenching. One is exhausted for him and heartbroken at the same time.<br /><br />And what can be said about Daniel Day-Lewis, one of the greatest actors in the world - he brings Christy totally to life, a fully fleshed out, intelligent human being capable of swearing, becoming angry, bitter, drunk, pushy, lecherous, funny and loving. A well-deserved Oscar won in the same year that Tom Cruise was nominated for ""Born on the Fourth of July."" I remember someone writing a letter to the editor somewhere that Cruise was so sensational, what was wrong with the Academy? Uh, nothing for a change. Nothing at all.<br /><br />Brenda Fricker is amazing as Christy's mother, who never stops believing in him and what he can do and who holds her family and husband together during the hard times. The wonderful thing about Fricker's performance is that the support, love and work ethic seem to come naturally to the mother. The character would never consider herself a heroine or as someone doing something out of the ordinary. Fricker shows us a religious but not fanatic woman who believes her duties on earth are to be a good wife and mother. And no matter what, even when her husband is out of work, throws their daughter out of the house for being pregnant, whatever, she manages. She saves money for Christy's wheelchair, she receives photos of her daughter and the baby, she starts building a room for Christy in the back of the house. All part of a day's work. A performance worthy of the Oscar she received.<br /><br />Brown's life was more complicated than this inspiring film, but this is an amazing achievement by all involved and a must-see.",1
"Inspector Gadget was probably my all-time favorite 80's cartoon. I enjoyed both the first and second seasons of the series as well as 1992's Christmas special ""Inspector Gadget Saves Christmas"". Some Gadget fans are quick to criticize the second season (1985) of the show, but they need to compare it to DiC's 2002 release of ""Inspector Gadget's Last Case: Claw's Revenge"" for then, they will find the second season to be absolute gold.<br /><br />Being a Gadget fan, I couldn't resist the opportunity to see the animated Inspector Gadget in something that wasn't Gadget Boy-related. I purchased the film, and I swore to myself that I'd be objective; I knew that sometimes artistic liberties would be taken from the original series. I was not even prepared for what I was about to watch.<br /><br />There was barely a shred of the original show still intact.<br /><br />Here is a short list of just some of the cons for this movie: *The humor is non-existent from the original series.<br /><br />*Penny and Brain (originally having a nearly equal part in the series as Gadget) are missing from the action for fifteen to twenty minute intervals.<br /><br />*The original music by Saban & Levy is not there, and the score that exists is sub-par. (Understood that Saban has his own production company now, but at least ""Inspector Gadget Saves Christmas"" had good music, even without Saban.) *Don't expect to see any of Gadget's gadgets which made the show so endearing, such as gadget-copter, gadget-brella, gadget-mallet,gadget-coat (which actually was used but it was not even called the same thing), as well as his standard other hat and hand gadgets. In this movie, his gadget legs were telescopic instead of springs. That kind of stuff annoys true fans of the show, and simply aren't necessary to change.<br /><br />*The gadgetmobile from the original series is now a fast-talking, supposedly ""hip"" convertible. All the fans from the original series enjoyed the gadgetmobile transforming into the gadget van and vice versa.<br /><br />*Chief Quimby is now very short-tempered and even mean to Gadget. He was always grumpy in the original series, but this pushes the situation a bit much.<br /><br />*Penny no longer has a computer book.<br /><br />Are there any positives to this movie? OK, here goes...<br /><br />*Maurice LaMarche does a good job of taking over for the great Don Adams as Inspector Gadget.<br /><br />*In one scene, Chief Quimby alludes to an actual villain from the cartoon series: the Great Wambini (classic ""Gadget"" villain from the second season, voiced by Louis Nye).<br /><br />Looking for more redeeming factors for this movie? Well, you're out of luck. Life is about making choices and living by those choices. Most situations in life have a purpose even if it is to teach a lesson. The lesson learned here: keep to the original formula! ""If it ain't broke, don't fix it."" True Gadget fans should steer clear from this movie; you will surely be disappointed.<br /><br />Hopefully, DiC and Shout! Factory will continue to release more of the original series after the 2006 release of ""Inspector Gadget: The Original Series, Volume 1,"" containing the first 22 episodes of the series. As a true Gadget fan, lover of 80's animation and many of DiC's programs, I urge you the viewer to purchase ""Inspector Gadget: The Original Series, Volume 1"" and ""Inspector Gadget Saves Christmas"" DVD's which are excellent and sure to bring back good memories.",0
"Great drama with all the areas covered EXCEPT for screenlay which was too slow and should have shown more relevant scenes like Pitt's character interviewing the President,or Pitt getting murdered instead of just having it described to us.Scenes like those would have kept the audience awake.Cutting away some useless minutes could have made more room for more heartpounding scenes like those.The dragging of the film kept this one from all time greatness although to see Pitt here makes the film so worth watching.Also,big fans of fising,early 20th century styles and Montana will really like this as well........",1
"Ah, Channel 5 of local Mexican t.v. Everyday, at 2:00 a.m. they air Horror movies from the 70's to early 2000's. It was ""Return To Cabin By The Lake"" the movie that aired yesterday. I regret for watching it.<br /><br />The original ""Cabin By The Lake"" was a regularly popular low budgeter and it was good accepted. The problem is that this sequel is horrible, not even unintentionally funny and tries to imitate the original. Ugh. The plot is really stupid in all the sense of the word.<br /><br />The movie at some points looks like a soap-opera because of it's absurd dialogs, cinematography, and direction.<br /><br />My advice is : avoid this one at all costs. It's a movie that it shouldn't be watched by anyone. Not even for lovers of mediocre film-making.<br /><br />You have been warned.",0
"""The Second Coming Of Suzanne"" is yet another one of those surrealistic films that tries to come across as extremely sophisticated, yet all it does is put the viewer to sleep. Like other movies of this type, there is limited dialogue. Everyone is much more interested in the visual aesthetic of the shot. However, the cinematography stinks so there is nothing at all to keep your attention.<br /><br />The video box states that this film is ""one of the most exciting visual adventures ever seen on film."" Yeah...sure. It's right up there with watching such stimulating events as a bucket of ice melting or a turtle walking for a mile. 1/10",0
"This is a lovely, spirit-restoring movie. From the use of the actual villa that inspired Elizabeth Arngrim to write the novel in the 1920s to the inspired casting, every choice was perfectly right! The quiet joy of this film doesn't stale after repeated viewings. Josie Lawrence, Miranda Richardson, Polly Walker and Joan Plowright seem to have been born to play these parts! I would dearly love to see Enchanted April released on DVD in a widescreen format.",1
"My all-time favorite movie! I have seen many movies, but this one beats them all! Excelent acting, wonderful story. You will, as a ""normal"" caring person start to love George. Altough he is an actor, he is also himself and a very lovable person. And maby most important thing: you will learn to respect & look different to people with Down Syndrome.",1
"Having the In-Laws over for the weekend? Then this is the film to hasten their departure, failing that it will induce a catatonic state to bring a welcome relief from constant nagging.<br /><br />The film is supposedly set on board a luxury cruise ship, which is more superannuated car ferry; the plot has more holes than the average colander and a cast dredged from the depths of the celebrity D list. An interesting piece of added amusement is playing ""Spot the Villain"" as passengers join the ship. You won't be wrong!!!! With a script that sinks faster than a brick, clichéd set pieces and copious amounts of raspberry jam doubling as blood this film attempts to encompass the genres of thriller, action movie and gore-fest and simultaneously fails to fulfil any of them.<br /><br />A must watch film, if only to laugh at how bad it is.",0
"A young boy comes into a lot of money and promptly begins to live it up. Unfortunately, the man whose money it really is happens to be very bad. He wants his loot back. When he discovers who has the bucks, he begins trying to get it back. He keeps getting foiled by this little kid who is just lucky enough to keep from falling into the evil man's hands. Sounds familiar, I'll bet. Very predictable, not interesting at all. Come up with something a bit different, ok guys?",0
